Tweet,Sentiment,Type,HS_Target,HS_Topic
 kasus para simpatisannya pak prabowo tidak ada yang benar,Negative,Hate Speech,Group,Other
kata airlangga pribadi jangan lupa bu khofifah pengalaman 3 tahun menteri sosial bersama presiden ikut se a membantu mengentaskan kemiskinan khofifah emil jawa timur satu,Positive,Neutral,Other,Other
 istilah cebong dan kampret kurang berbau arab pakailah istilah onta dungu atau keledai liar ,Negative,Hate Speech & Abusive,Group,Other
ada akun ke tepi jutaan tapi biarlah itu akun kafir cebong xf0 x9f x98 x82 ,Negative,Hate Speech & Abusive,Individual,Other
 polisi terkutuk ,Negative,Hate Speech & Abusive,Group,Other
a aduh min kok aku kelihatan tua ya nb lihat deh kulit becky tiga puluhan menjelang 40 na gue bertanya keadaan kulit gua bukan becky bego ,Negative,Hate Speech & Abusive,Individual,Other
komisi pemberantasan korupsi 10 anggota dewan perwakilan rakyat daerah sumatra utara kembalikan uang wa a ekonomi,Positive,Neutral,Other,Other
suka banget emutkan kontol yang gede begitu ,Negative,Abusive,Other,Other
 itu sukun bangsat ,Negative,Hate Speech & Abusive,Individual,Other
menolak berita hoaks dan sukseskan pilihan kepala daerah damai di wilayah kota kediri ,Positive,Neutral,Other,Other
 itu doa bro kan semua akan tua pada waktunya dan digantikan yang muda begitu juga ,Negative,Hate Speech,Individual,Other
 kelihatan pengeeen masuk kabinet kerja episode 2 coba hitung bung utang kita sudah dekat 5000 triliun seharusnya anggota dewan perwakilan rakyat jangan jalan jalan ke luar negeri biaya partai politik dicabut saja itu ide brilian ,Positive,Neutral,Other,Other
jijik banget goblok ,Negative,Abusive,Other,Other
 karena biang manusia homo ,Negative,Abusive,Other,Other
duta besar kwang il be ekad kembangkan pe ukaran budaya korea ri klik rmol korea utara,Positive,Neutral,Other,Other
jangan menonton atau dengar lagu banci uniform resource locator cc ,Negative,Abusive,Other,Other
kenapa banyak orang buta it ya ampun xf0 x9f xa4 xa6 xf0 x9f x8f xbb xe2 x80 x8d xe2 x99 x80 xef xb8 x8f ,Positive,Neutral,Other,Other
 cina tidak termasuk salah satu ras di indonesia beda dengan singapura,Negative,Hate Speech,Group,Race
 masalahnya sih banci dengan akun palsu itu bilang utang pemerintah era ,Negative,Hate Speech & Abusive,Individual,Gender
 haha aku pun sneak out tengah malam buta ha bukan ada permission xf0 x9f x98 x82 still consider as strict parents oke ,Positive,Neutral,Other,Other
081223555353 jika aku berkata aku tak lagi membutuhkanmu maka aku adalah orang munafik karena dalam setiap hariku aku jual foredi yogyakarta ,Positive,Neutral,Other,Other
ya gue intinya tidak menyesal sudah pokoknya join di bangsat biar pun memb nya pada bego semua kadang wkwk tidak ,Negative,Abusive,Other,Other
 kapan anjing makan yang bukan haknya kapan anjing makan berlebihan kapan anjing pernah mencuri sebagaimana para manusia dan di mana xe2 x80 xa6 ,Positive,Neutral,Other,Other
 saya memang no,Positive,Neutral,Other,Other
 namanya pemerintahan revolusioner republik indonesia susah gampang partai komunis indonesia,Negative,Hate Speech,Group,Race
 contoh babi 1 dan sudah tahu sudah nak merah pergi jalan lagi kalau tak sangkut tak apa nih sangkut kat tengah jalan pasti orang lain xe2 x80 xa6 ,Negative,Abusive,Other,Other
 kalau susilo bambang yudhoyono menikahkan anaknya dengan koruptor bera i ,Negative,Hate Speech,Individual,Other
 cebong adalah percaya saja di bohongi meme xf0 x9f x98 x80 xf0 x9f x98 x80 xf0 x9f x98 x80 ,Negative,Hate Speech & Abusive,Group,Other
anies congornya saja gede realisasinya tidak ada janji terus dari awal bisanya paling korupsi balik jadi dosen saja bangsat ,Negative,Hate Speech & Abusive,Individual,Other
bahas kebangsaan harus dijelaskan tuhan yang maha esa dalam pancasila untuk semua orang indonesia allah subhanahu wa taala benci kafir bukan tuhan,Negative,Hate Speech,Group,Religion
wah dana nya dari mana sungguh terlalu kamu kowi balik solo 2019 ganti presiden,Negative,Hate Speech,Individual,Other
lgbt tidak harus didiskriminasi di tempat kerja xe2 x80 x93 mujahid dan golongan lgbt lesbian gay biseksual dan transgender di malaysia berhak menikmati hak yang sama sebagai warga negara ini dan uniform resource locator,Positive,Neutral,Other,Other
 siapkan taplak meja di bahu aku ,Positive,Neutral,Other,Other
 nah hasilnya bagi bagi ke aku wkwk oh begitu bagus deh sarapan tidak sarapan tetap sarap xf0 x9f x98 x82 xf0 x9f x98 x82 ,Negative,Abusive,Other,Other
 jablay begitu anjir ,Negative,Hate Speech & Abusive,Individual,Gender
 tidak setan gue bernyanyi ,Negative,Abusive,Other,Other
 ada baiknya beliau diminta mundur saja pak jika memang mau berpolitik,Negative,Hate Speech,Individual,Other
 info apa saja sih program bantuan pemerintah untuk perguruan tinggi agama hindu cek di sini ,Positive,Neutral,Other,Other
astagfirullahal azim tolong diingatkan saja jangan sampai musyrik salam budaya spirit gebyar nusantara sragen yogyaka a haram agama,Positive,Neutral,Other,Other
oi cebong kamu ya dasar komunis ateis sifilis autis salibis ,Negative,Hate Speech & Abusive,Group,Physical
 dikasih bukti terpojok melipirnya kemana mana itu namanya cacat logika ,Negative,Hate Speech & Abusive,Individual,Other
 justru malah universal dia berbicara kitab suci bera i semua kitab suci dong menistakan semua kitab suci dan al qur an adalah salah satu kitab suci agama islam tidak ada keraguan di,Positive,Neutral,Other,Other
 dan cebong pun terdiam taunya apple to apple doang istilah yang bikin katanya kelihatan pintar tapi minim kognitif ,Negative,Hate Speech & Abusive,Individual,Other
 mata gue picek sama dia yang pakai koma koma ,Negative,Hate Speech & Abusive,Individual,Physical
 xe3 x85 xa1 junki bocah laki laki itu menekan dagu mungilnya dengan ujung tumpul pensil warna berwarna biru muda sepasang mata sipit menyergap dahi berkerut menandakan pria kecil tengah berpikir dan dan xe2 x80 x9citu ibu untuk berenang xe2 x80 x9d,Positive,Neutral,Other,Other
untuk memastikan penggagalan proyek elektonik kartu tanda penduduk berhasil 1 sekretariat jenderal kementerian dalam negeri tidak menindaklanjuti keluhan paulus tanos 2 keluhan paulus tanos ke menteri dalam negeri tidak bisa diteruskan ke presiden susilo bambang yudhoyono karena menteri dalam negeri tidak diberi kesempatan menghadap presiden,Positive,Neutral,Other,Other
 kok aku ra asing sama itu iya ,Positive,Neutral,Other,Other
 laaaahhhhh jackson dibilang sampah terus yang mentwit apaan coba mau lihat akunnya dong kak hehe ,Positive,Neutral,Other,Other
 cowoknya kasih ke gue saja bangsat lo bejat benar jadi cewek astaga ,Negative,Hate Speech & Abusive,Individual,Gender
 cubit saja titit nya kalau nakal ,Negative,Abusive,Other,Other
 mau naik apa kayak bodoh amat tidak berpengaruh keleees lihat polling google 91 meminta presiden nya diganti apa apa apa 2019 ganti presiden pak ogah ganti presiden,Negative,Hate Speech,Individual,Other
utang bank asing demi beli saham freepo tidak bisa bayar utang freepo disita kamu mengecap dibeli salah tidak dibeli salah mau kamu apa sederhana tidak usah kebanyakan gaya utang yang ada saja sudah menumpuk terus mu menambah rakyat itu yang penting bahan pokok murah barang,Positive,Neutral,Other,Other
 cebong mana terima dibilang rezim amatiran kalau tidak amatir mana bukti ini rezim profesional utang negara janji kampanye mana buktinya kemakmuran rakyat subsidi dicabuti rezim kayak begini kamu mau bilang profesional ,Negative,Hate Speech & Abusive,Individual,Other
 sih bani kampret mencecarnya cuma berani ke gue kalau ke lu adalah dia kederrrr xf0 x9f x98 x82 xf0 x9f x98 x82 xf0 x9f x98 x82 xf0 x9f x98 x82 xf0 x9f x98 x82 x,Negative,Hate Speech & Abusive,Individual,Other
 kangen dengan kediktatorannya kebodohannya jadi antek united state of america membohongi rakyat demi kepentingan asing rampas sda perkaya diri,Negative,Hate Speech,Individual,Other
ada yang mau kirim foto kontol tidak nih sange chat sex ,Negative,Abusive,Other,Other
umat agama islam dijaka a sangat haram dan sangat najis sekali dengan ahok kafir kristen ,Negative,Hate Speech & Abusive,Group,Religion
 nih kacung nya asing bunyi xf0 x9f x91 x86 ,Negative,Hate Speech & Abusive,Individual,Other
 yang penting groundbreaking gunting pita manajemen proyek tahap tahapnya melewati saja lah keahlian cebong hanya 1 tukang tipu cebong adalah begitu goblok enggak ketulungan plonga plongo mengakibatkan optimisme berlebihan 2019 ganti presiden plo,Negative,Hate Speech & Abusive,Group,Other
subhanallah amin ya rabbal alamin insya allah diijabah allah subhanahu wa taala,Positive,Neutral,Other,Other
 assalamualaikum siapa yang bela kristen penyembah bangkai yesus busuk itu tidak ada satupun yang bela kristen yang bodoh itu ,Negative,Hate Speech & Abusive,Group,Religion
mereka orang orang musyrik menjadikan jin sebagai sekutu sekutu allah padahal allah yang menciptakan jin jin itu qs 6 100 ,Positive,Neutral,Other,Other
 benamkan batang kontol mu ke dalam pepek ku sayang oh ah anjingggg uniform resource locator,Negative,Abusive,Other,Other
 terang benderang boediono berkeinginan menjadi wakil presiden saat itu zalimnya dia membohongi rakyat bahkan anak buahnya dengan menutupi seakan ekonomi indonesia pasti runtuh jika tidak menyelamatkan bank century bung rr ba,Negative,Hate Speech,Individual,Other
 iman cebong penjilat tidak kaget ,Negative,Hate Speech & Abusive,Individual,Other
 mengancam pembunuhan itu tidak akan pernah lucu mana yang diancam presiden pula belum banget sih tuntut pidana seberat beratnya pak ,Negative,Hate Speech & Abusive,Individual,Other
 bodoh mamat gue mengambek bodoh mamat gue mengambek uniform resource locator,Negative,Abusive,Other,Other
emil dardak pemimpin milenial calon wakil gubernur jawa timur,Positive,Neutral,Other,Other
wah terciduk satu persatu tim sukses anies sandi ada yang jualan fitnah,Negative,Hate Speech,Individual,Other
 masa aku dibilang buaya ,Positive,Neutral,Other,Other
 wah tontonannya xf0 x9f x91 x8c jadi ingin mengobrol bareng coba tonton the boy in the stripped piama juga tentang kamp yahudi ,Positive,Neutral,Other,Other
pendukung surat pemberitahuan tahunan arb sda adalah orang orang bejat tabiatnya kasar termasuk orang ini begitu begitu lt lt dasar anjing ,Negative,Hate Speech & Abusive,Group,Other
 cara apapun yang dilakukan psi tak akan laku di indonesia rakyat tahu psi itu agen komunis ,Negative,Hate Speech,Group,Race
 aparat keparat biadaaaaa,Negative,Hate Speech & Abusive,Group,Other
 ate bocah kontol goblok sontoloyo kepala gatel sial anjing berengsek ,Negative,Hate Speech & Abusive,Individual,Gender
22 kedudukan syariat islam sama rendahnya dengan sumber perundangan lain semisal budaya tradisi dan hawa nafsu manusia perempuan mulia dengan islam,Positive,Neutral,Other,Other
sebenarnya gerakan lepas hijab sudah lama di saudi tahun 2014 fatwa ulama terkemuka di saudi ini menyatakan wanita tidak perlu pakai jilbab boleh pakai make up boleh posting foto ke media sosial di saudi trennya lepas jilbab di indonesia malah semakin membung,Positive,Neutral,Other,Other
 saya juga tidak terlalu suka dengan rezim yang sekarang tetapi sikap sikap ancam angkat senjata yang terindikasi merongrong merah putih juga tidak boleh makanya tahun depan pastikan indonesia memiliki pemimpin yang jiwa nasionalisme,Positive,Neutral,Other,Other
jaka abanjir pemimpinnya tidak punya akhlak yang baik penista agama ,Negative,Hate Speech,Individual,Religion
kedekatan lawyer satu merek yang dipakai pada lampu jaksa penuntut umum di daerah khusus ibukota dengan ahok gubernur saat itu diduga menjadi alasan terpilihnya satu merek tersebut,Negative,Hate Speech,Individual,Other
istilah kecebong kampret diharapkan hilang dari jagat dunia maya istilah kafir kafir sesat menyesatkan bagaimana a edisingadukaaa ,Negative,Hate Speech & Abusive,Group,Other
 haha makin ketahuan nih cebong mau sembunyi di balik kebegoannya xf0 x9f x98 x9d xf0 x9f x98 x9d ,Negative,Hate Speech & Abusive,Individual,Other
hai guys kita lihat iya siapa sebenarnya yang disebut pasukan nasi bungkus itu iya kita buktikan kalian bisa buktikan juga lupa gas pool lagi iya 2019 ganti presiden nya sip ,Negative,Hate Speech,Group,Other
 bubarkan dewan perwakilan rakyat,Negative,Hate Speech,Group,Other
tidak apa apa biar sekalian saja hancurkan rezimnya uniform resource locator,Negative,Hate Speech,Individual,Other
ekspor indonesia naik tajam pada bulan maret 2018 naik 10 24 dibandingkan dengan bulan februari 2018 terjadi surplus perdagangan sebesar 1 09 miliar dolar mudah mudahan ini menjadi pe anda bangkitnya kembali ekonomi indonesia,Positive,Neutral,Other,Other
 tadi ada di instagram ya sudah lah ya jadi aku menarik teman teman saja terus bahas bakso di sana habis itu kan aku perhatian aku bilang mas xe2 x80 xa6 ,Positive,Neutral,Other,Other
ganyang partai komunis indonesia anjing uniform resource locator,Negative,Hate Speech & Abusive,Group,Race
 waktu rapat di dewan perwakilan rakyat ketiduran xf0 x9f x98 x85 xf0 x9f x98 x85 ,Positive,Neutral,Other,Other
budak budak twitter zaman kini memang wajib belajar pendidikan alquran sunnah gejala mempersendakan agama,Positive,Neutral,Other,Other
saja throwback lagu zaman sekolah xf0 x9f x98 x82 cinta monyet konon nurl,Positive,Neutral,Other,Other
wusu gue bom ya kamu mantap gue ramai sama dia doang wkwk ,Positive,Neutral,Other,Other
kang fakta hari ini pak ai pendukung sih penista agama sangat dibenci rakyat termasuk rakyat jabar uniform resource locator,Negative,Hate Speech,Group,Religion
 sebenarnya yang cacat itu anaknya jadi anaknya kayak memberi tau kondisi dia biar tau reaksi orang tuanya dulu bagaimana xf0 x9f x98 x85 ,Positive,Neutral,Other,Other
wkwk kiraan anjing main golf uniform resource locator,Positive,Neutral,Other,Other
insyaallah tegak sudah kita lihat pengalaman saat ini kepentingan umat disepelekan 2019 ganti presiden,Negative,Hate Speech,Individual,Other
sumpah bego banget sih kesal gue kenapa ada orang yang memilih makhluk kayak sandiaga uno coba oh agama,Negative,Hate Speech & Abusive,Individual,Other
 menonton drama korea sambil ngentot ngewe memek memek basah jilat memek toket toket mulus kontol bispak binal bokep po xe2 x80 xa6 ,Negative,Abusive,Other,Other
sejarah partai komunis indonesia antek komunis lagi sok tersiksa uniform resource locator,Negative,Hate Speech,Group,Race
allaahu yubarik fiikum ya syaikhuna alfadli apa a inya pak lukman anda masih menteri republik indonesia kan ,Positive,Neutral,Other,Other
pt freepo indonesia yang sudah 48 tahun beroperasi di papua selama ini sahamnya dikuasai oleh asing membuat pembangunan papua te inggal jauh padahal freepo sudah banyak meraup keuntungan dari hasil mengeksplorasi kekayaan alam papua freepo 51 ,Positive,Neutral,Other,Other
 sebelum berangkat kerja ngentot dulu sama pacar uniform resource locator,Negative,Abusive,Other,Other
 jaka abanjir pemimpinnya tidak punya akhlak yang baik penista agama ,Negative,Hate Speech & Abusive,Individual,Religion
kebanyakan cowok galau karena saat malam terbangun karena mimpi basah tapi mimpi basahnya karena di ena ena sama banci ,Negative,Abusive,Other,Other
 tidak bisa jadi keluarga belo karena ku sipit xf0 x9f x98 x82 ,Positive,Neutral,Other,Other
he gembel gue mulai nyanyi lebih dahulu ya kamu ngerapnya tar saja kalau sudah lolos audisi yang kamu ainment ,Negative,Abusive,Other,Other
kenapa cowok cowok remaja yang fc nya ganteng manusia homo ,Negative,Abusive,Other,Other
2 pembebasan lahan memakan waktu sekitar 2 tahun meskipun masih belum seluruhnya dengan biaya terbatas dan keinginan kuat jabar akhirnya mampu selesaikan bandara dengan mayoritas dana dari anggaran pendapatan dan belanja daerah ini prestasi rakyat jabar ,Positive,Neutral,Other,Other
 hanya pemerintah dan negara komunis tidak mengakui pancasila tidak be uhan yang tidak peduli amanat penderitaan rakyat ,Negative,Hate Speech,Group,Race
setya novanto menang hukum sudah mati suri uniform resource locator,Negative,Hate Speech,Individual,Other
 lost respect untuk kesekian kalinya buat agency yang kamu banggakan buat a is yang kamu banggakan kelakuan tai kucing xe2 x80 xa6 ,Negative,Hate Speech & Abusive,Group,Other
 haha gue suka kalau sudah lihat cebong ngamuk ngamuk xf0 x9f x98 x82 xf0 x9f x98 x82 xf0 x9f x98 x82khas cebong banget kalah debat mengamuk mengamuk cung kacung xf0 x9f x98 x9d dan 2019 ganti presiden kacung ,Negative,Hate Speech & Abusive,Group,Other
 tidak zaman buang sampah sembarangan ,Positive,Neutral,Other,Other
jepitkan kontol gue pakai memek kamu sini ,Negative,Abusive,Other,Other
mukanya empok silvy asem banget tertawa kena deh habis jahat sih debat final pemilihan kepala daerah jakarta,Negative,Hate Speech,Individual,Other
 anies sandi akan dikenang dalam sejarah menang secara tak terhormat nanti anies sandi dilantik kan beres urusannya pak djarot lagi sibuk ,Negative,Hate Speech,Group,Other
wakil gubernur banten ajak masyarakat meriahkan seba badui dibarengi festival exsisting 18 april 2018 in rosyadi wakil gubernur banten andika hazrumy mengajak masyarakat untuk menghadiri dan memeriahkan seba badui yang ,Positive,Neutral,Other,Other
 hizbut tahrir indonesia bubar 7 mei kacung kacung rezim lagi pengalihan isu isu apa lagi ya sudah jelas bubar di bahas lagi dasar kaum dungu ,Negative,Hate Speech & Abusive,Group,Other
wah transgender bisa jadi calon legislatif di pakistan uniform resource locator,Positive,Neutral,Other,Other
mas apa tidak takut di pecat setya novanto karena setya novanto membela sih penista agama ,Negative,Hate Speech,Individual,Other
 km jangan suka cari cacat nya orang manusia tidak ada yang sempurna salam olahraga ,Positive,Neutral,Other,Other
terhitung dalam 2 tahun terakhir sudah 4 kali presiden hadir di tengah tengah keluarga besar ppp ini menunjukkan kecintaan dan hubungan emosional yang sangat kuat antara ppp dengan presiden pppforjokowi munasulamappp romahurmuziy ,Positive,Neutral,Other,Other
sore guys dengan sentuhan jokowi indonesia membangun riau proyek jalan tol pekanbaru dumai salah 1 ruas trans sumatra jalan tol sepanjang 131 km tersebut bakal rampung di tahun 2019 yuk kita lihat apa saja manfaat dan pandangan dari segi ekonomi dari protein energy malnutrition,Positive,Neutral,Other,Other
 lagi pakai jurus kalajengking mengamuk sayangnya yang pakai jurus dongok xf0 x9f x98 x82 ,Negative,Abusive,Other,Other
 wkwk iya itu gara gara sih andri fals bangkai sih provokator xf0 x9f x98 x85 ,Negative,Hate Speech & Abusive,Individual,Other
 yang diam itu siapa ya kodok atau bani kampret bukan kah partai demokrasi indonesia sudah tidak ada yang ada itu partai demokrasi indonesia p perjuangan xf0 x9f x98 x81 xf0 x9f x98 x81 xf0 x9f x98 x81 xf0 x9f x98 x81 ,Negative,Hate Speech & Abusive,Group,Other
 sebagai bani indomie saya mengikut saja 1 1 1 ,Positive,Neutral,Other,Other
 gue juga suka tapi dia tidak terlalu suka dia mengagumi sama binatang kelas atas macam hiu ular buaya makanya ba ba black sheep dilewati ,Positive,Neutral,Other,Other
komisi pemberantasan korupsi ri awasi pertahanan izin cuti ikut pilihan kepala daerah tapi masih kendalikan proyek di pemerintahan,Positive,Neutral,Other,Other
 sudah benar langkah pemerintah untuk bubarkan selain jadi akun nyinyir kader jebolan hati beberapa kali,Negative,Hate Speech,Individual,Religion
 gerombolan bani kampret ,Negative,Hate Speech & Abusive,Group,Other
media sosial begitu begitu mengenalkan yang asing dan mengasingkan yang kenal ,Positive,Neutral,Other,Other
adik adik yunior kita terus be anya pe anyaan mereka agak sensitif betulkah indonesia akan menjadi negara komunis bang karena kita sudah tidak peduli lagi dengan negara dan bangsa kita lanjut mereka ada benar nya juga buktinya tenaga kerja asing pada masuk poli,Positive,Neutral,Other,Other
 perilaku cina dari dulu memang sp itu jadi penghianat bangsa makanya di yoyakarta warga cina jadi kelas terpinggirkan dan tidak diperbolehkan punya sertifikat hak milik dasar cina keparat ,Negative,Hate Speech & Abusive,Group,Race
apa ce berkacamata itu identik dengan kata culun ,Positive,Neutral,Other,Other
6 presiden juga menginginkan laporan dari jajaran terkait mengenai detail lain sepe i persiapan infrastruktur transp rakyat bersama jokowi,Positive,Neutral,Other,Other
ya ampun cantik cantik benar,Positive,Neutral,Other,Other
tunggu apa lagi batalkan pelantikan anies sandi,Negative,Hate Speech,Individual,Other
komunis itu akal akalannya kivlan zen saja sebagai bentuk kekecewaan karena tidak jadi presiden uniform resource locator,Negative,Hate Speech,Individual,Other
pensiunkan kepala kepolisian republik indonesia uniform resource locator,Negative,Hate Speech,Individual,Other
 sama sepe i indonesia harus ada perubahan caranya 2019 ganti presiden,Positive,Neutral,Other,Other
 forever alone tahap dewa gila babi member aku seorang nih uniform resource locator,Negative,Abusive,Other,Other
 cuihhhhhhh najis ,Negative,Hate Speech & Abusive,Group,Other
 logikanya tidak akan berani pejabat yang punya kasus hukum berseberangan dengan rejim petunjuk sederhana untuk pilih pemimpin ,Positive,Neutral,Other,Other
apa yang ingin di persenjatai itu sebuah bukti bahwa yang anti pemerintah berpaham komunis terlalu dangkal bukti kamu med ,Negative,Hate Speech,Individual,Other
 kalau kamu kebanyakan makan duit apa cong duit dari pak ai pak ai dari asing asing rampok duit rakyat nah sekarang kamu mau jual rakyat kecil otak kamu dimana cong xf0 x9f x90 xb7 xf0 x9f x90 xb7 xf0 x9f ,Negative,Hate Speech & Abusive,Individual,Other
 jujur sampai sekarang gue tidak pernah ngentot sama cowok kissing apapun kalaupun pernah gue baru dua kali ngewe sama cewek gue bisexual xe2 x80 xa6 ,Negative,Abusive,Other,Other
bubarkan saja dewan perwakilan rakyat kebanyakan diam uniform resource locator,Negative,Hate Speech,Group,Other
cuk bangun mau bubur tai ayam tidak ,Negative,Abusive,Other,Other
dalam 25 tahun utang jokowi setara 5 tahun susilo bambang yudhoyono rakyat diperas untuk membayar utang uniform resource locator,Negative,Hate Speech,Individual,Other
pernyataan saya tentang makam di tanah palestina hanya menekankan bahwasanya tidak ada perselihan umat islam dan kristen karena islam juga memuliakan bisa as karena nabi islam ,Positive,Neutral,Other,Other
 jadi ini nasionalisasi freepo atau internasionalisasi freepo ya bang dan dari asing oleh asing untuk indonesia dan agak aneh juga kalau enggak ada uangnya kenapa enggak menunggu saja sampai 2021 saja ya 3 tahun enggak lama kok ,Positive,Neutral,Other,Other
contoh lain kita sebutkan misalnya hukum istilah tersebut mencakup menaungi substansi isi muatan hukum te ulis dan tidak te ulis struktur penegak hukum polisi jaksa hakim advokat budaya hukum cara berpikir amp be indak masyarakat berhadapan,Positive,Neutral,Other,Other
 itu istilah dari novel komedi mbak catatan harian menantu sinting wkwk kocak banget baca deh mbak tipe biasnya yang berkarisma cowok banget begitu ,Positive,Neutral,Other,Other
 yang memilih cebong liberal tengik sekularisme dan segelintir antek ,Negative,Hate Speech & Abusive,Group,Race
 sidang ahok semoga si penista agama dan anteknya matinya tidak wajar dan jasadnya tidak diterima tanah dan dia tidak pernah mrs kan sorga amin semoga tuhan setuju,Negative,Hate Speech & Abusive,Group,Other
 ini pak lulung masuk golongan cebong apa kampret kok lebih dominan melekat ciri ciri kampret apa ini pe anda pak ,Negative,Hate Speech & Abusive,Individual,Other
 prabowo terbukti terlibat kasus penculikan uniform resource locator,Negative,Hate Speech,Individual,Other
om ahoknya mana om katanya sih babi ahok bisa mengatasi banjir om babi jangan membual om ,Negative,Hate Speech & Abusive,Individual,Other
god itu bukan dikhususkan kepada kata allah nanti agama onta pikir mereka yang keren wah god itu tuhan kata universal inggris google ,Positive,Neutral,Other,Other
kami punya takbir yang akan ganyang kalian partai komunis indonesia ,Negative,Hate Speech,Group,Race
 haha iya gembrot dia kseeeel gemas ,Negative,Abusive,Other,Other
sekarang yang gembel gembel twitter dan whatsapp chat tidak jelas di whatsapp langsung blok apa lagi yang bebencongan minggir cuihhhh kenapa tidak cepat kena mati saja kayak yang banci banci dan feminim sialan ganggu orang saja orang dari baik baik sampai kasar memang dasar bencong tidak tau malu ,Negative,Abusive,Other,Other
 rasanya ada yang tak asing dan mereka be emu pe sama kali tepat satu minggu yang lalu di dalam lift tidak hanya itu gadis ini adalah salah satu dari siswa berprestasi yang menerima beasiswa dan keith menunggu gadis itu mengangkat wajah kamu,Positive,Neutral,Other,Other
save malang haritage selamatkan cagar budaya ,Positive,Neutral,Other,Other
 terkutuk lah kamu yang menyelewengkan nick queen ,Negative,Hate Speech & Abusive,Individual,Other
kemana paduka ketika ulama jabar diserang bahkan ada yang meninggal adakah sepatah dua pata kata terucap saat itu he he ,Positive,Neutral,Other,Other
diskusi dengan om bata menurun salah satu tokoh rongkong yang juga pemerhati budaya bangga ,Positive,Neutral,Other,Other
 gue malah sering diingatkan kayak begitu sama teman gue yang kristen and i feel terima kasih banyak for it kok ini malah harmful ,Positive,Neutral,Other,Other
cebong suka banget hebohkan hal hal receh pohon plastik lah bambu lah giliran untuk isu isu besar kayak ekonomi yang anjlok tenaga kerja asing ilegal merajalela ketahanan nasional dan lain lain mereka diam memang kapasitas otaknya kecil kali ya tidak bisa cerna isu isu besar xf0 x9f x98 ,Negative,Hate Speech & Abusive,Group,Other
 bodoh mau mengambek ,Negative,Abusive,Other,Other
 wkwkkk bani kacung penggemar jamban dungu kamu optimal cung ,Negative,Hate Speech & Abusive,Group,Other
 tujuan dibuat kaca itu biar menyadari pas kemarin kamu menghina ismed belum lagi dulu dulu bambang pamungkas sama diego michel pusamania borneo football club tolol kamu ,Negative,Hate Speech & Abusive,Individual,Other
kampret lupa mengambil laundry dan nhhhhhhhhhhhhhhhhh ,Negative,Abusive,Other,Other
5 presiden juga menegaskan bahwa perubahan itu tidak hanya soal penerapan sistem online nya dalam perizinan yang terintegrasi tetapi juga terkait dengan penyederhanaan proses yang melibatkan semua kementerian amp juga daerah agar sesuai dengan kecepatan,Positive,Neutral,Other,Other
 wkwk cebong menipu mengikut gaya menipu junjungannya ,Negative,Hate Speech & Abusive,Individual,Other
calon wakil presiden terduga korupsi e kartu tanda penduduk calon gubernur jawa tengahnya pun terduga korupsi e kartu tanda penduduk tapi masih belum ditindak 2019 ganti presiden 2019 presiden baru,Negative,Hate Speech,Individual,Other
penghinaan itu pak dikira tukang sablon kaos ,Positive,Neutral,Other,Other
idealnya berpolitik di dalam modern nation state politik identitas itu tidak terpakai lagi sih kamu bisa muslim dan gue bisa ateis tapi kita berdua bisa punya pilihan yang sama and that si oke pilihan pilihan kita didasarkan pe imbangan2 akal sehat bukan sekte,Positive,Neutral,Other,Other
ingin bodoh amati xf0 x9f x98 xad xf0 x9f x98 xad uniform resource locator,Negative,Abusive,Other,Other
 saya selalu mengikuti diskusi tentang islam nusantara ini menarik sekali tapi saya belum berani komen prof dan saya terkesan dengan komen pak budi sepang ini saya penganut kristen jawa xf0 x9f x98 x8a shalom ,Positive,Neutral,Other,Other
menanggapi cuitan di indonesia presiden jokowi diejek antek asing amp asing sementara di luar dia malah dikagumi karena sikap tegas amp beraninya terhadap klaim republik rakyat cina di laut cina selatan apalagi ketika negara asia tenggara lain pada manut dengan kalau,Positive,Neutral,Other,Other
 anti kritik kontol mu bangsat orang idiot saja tau itu hate speech ,Negative,Hate Speech & Abusive,Individual,Gender
 kamu kunyuk ,Negative,Abusive,Other,Other
ekonomi dipegang gerindra bisa hancur negara kita masak menyarankan cetak uang sebanyak banyak untuk bayar hutang jadi tidak perlu hutang lagi malah bisa mengutangi negara lain bisa bisanya bilang biaya produksi cetak uang murah ekonomi comberan para kecoa yang baik yakin,Positive,Neutral,Other,Other
 pintar dan tolol itu tipis batasnya dan fahri pergi ke toko minuman keras mengendarai sepeda di sana dia membeli sebotol xe2 x80 xa6 ,Negative,Abusive,Other,Other
 masih sore masnya banci pengkolan saja masih baru pada mandi ,Negative,Abusive,Other,Other
 matamu lah picek buktikan bukan hoaks dan buktikan kalau km tidak melorot otak ,Negative,Hate Speech & Abusive,Individual,Physical
 ah kayaknya tidak peduli deh meski pakai jaket partai keadilan sejahtera sekalipun mau pakai jaket partai komunis indonesia juga tetap lanjut saja toh dibuka juga kan hehe ,Positive,Neutral,Other,Other
pernah ada yang berbicara ke gue kalau kamu mau jadi orang berengsek pastikan kamu be emen sama orang orang baik biar citranya terbawa baik ,Negative,Abusive,Other,Other
 agel perek tidak usah ,Negative,Hate Speech & Abusive,Individual,Gender
founder perkataan crush nih memang berengsek ,Negative,Hate Speech & Abusive,Individual,Other
